a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	p_condition_id	q_block_no
314	50.jpg	50.wav	Rock	5	5	24.jpg	24.wav	Jazz	5	4	0	0	1	1	0	15	14
321	52.jpg	52.wav	Old_rock	3	4	46.jpg	46.wav	Rock	4	5	1	-1	0	1	1	8	14
317	16.jpg	16.wav	Pop	2	5	14.jpg	14.wav	Jazz	4	5	2	-2	0	1	1	12	14
338	37.jpg	37.wav	Rock	1	5	12.jpg	12.wav	Pop	2	5	1	-1	0	1	0	7	15
328	45.jpg	45.wav	Pop	4	5	12.jpg	12.wav	Pop	2	5	2	2	1	0	0	21	15
339	49.jpg	49.wav	Pop	2	5	47.jpg	47.wav	Pop	3	5	1	-1	0	0	1	6	15
327	23.jpg	23.wav	Pop	5	5	30.jpg	30.wav	Cl_ce	3	4	2	2	1	0	1	22	15
330	32.jpg	32.wav	Pop	5	5	53.jpg	53.wav	Soul	4	5	1	1	1	1	0	19	15
326	8.jpg	8.wav	Pop	5	5	1.jpg	1.wav	Pop	3	4	2	2	1	1	0	23	15
333	36.jpg	36.wav	Pop	5	5	41.jpg	41.wav	Pop	5	5	0	0	1	1	0	15	15
329	19.jpg	19.wav	Rock	3	5	44.jpg	44.wav	70_rock	2	5	1	1	1	1	1	20	15
334	1.jpg	1.wav	Pop	3	4	23.jpg	23.wav	Pop	5	5	2	-2	0	1	1	12	15
331	54.jpg	54.wav	Rap	5	4	45.jpg	45.wav	Pop	4	5	1	1	1	0	1	18	15
336	49.jpg	49.wav	Pop	2	5	14.jpg	14.wav	Jazz	4	5	2	-2	0	0	0	9	15
337	51.jpg	51.wav	Pop	1	4	12.jpg	12.wav	Pop	2	5	1	-1	0	1	1	8	15
340	11.jpg	11.wav	Pop	2	5	47.jpg	47.wav	Pop	3	5	1	-1	0	0	0	5	15
332	53.jpg	53.wav	Soul	4	5	1.jpg	1.wav	Pop	3	4	1	1	1	0	0	17	15
335	31.jpg	31.wav	Folk	3	5	50.jpg	50.wav	Rock	5	5	2	-2	0	0	1	10	15
325	45.jpg	45.wav	Pop	4	5	16.jpg	16.wav	Pop	2	5	2	2	1	1	1	24	15
351	37.jpg	37.wav	Rock	1	5	38.jpg	38.wav	Jazz	2	5	1	-1	0	0	1	6	16
343	31.jpg	31.wav	Folk	3	5	27.jpg	27.wav	Pop	1	5	2	2	1	0	1	22	16
350	20.jpg	20.wav	Regae	3	4	14.jpg	14.wav	Jazz	4	5	1	-1	0	1	0	7	16
346	46.jpg	46.wav	Rock	4	5	48.jpg	48.wav	Rock	3	5	1	1	1	1	0	19	16
347	30.jpg	30.wav	Cl_ce	3	4	38.jpg	38.wav	Jazz	2	5	1	1	1	0	1	18	16
341	36.jpg	36.wav	Pop	5	5	31.jpg	31.wav	Folk	3	5	2	2	1	1	1	24	16
348	41.jpg	41.wav	Pop	5	5	45.jpg	45.wav	Pop	4	5	1	1	1	0	0	17	16
352	49.jpg	49.wav	Pop	2	5	31.jpg	31.wav	Folk	3	5	1	-1	0	0	0	5	16
344	32.jpg	32.wav	Pop	5	5	31.jpg	31.wav	Folk	3	5	2	2	1	0	0	21	16
342	31.jpg	31.wav	Folk	3	5	37.jpg	37.wav	Rock	1	5	2	2	1	1	0	23	16
345	20.jpg	20.wav	Regae	3	4	9.jpg	9.wav	Rock	2	5	1	1	1	1	1	20	16
349	27.jpg	27.wav	Pop	1	5	16.jpg	16.wav	Pop	2	5	1	-1	0	1	1	8	16
360	27.jpg	27.wav	Pop	1	5	13.jpg	13.wav	Rock	2	4	1	-1	0	0	1	6	17
357	13.jpg	13.wav	Rock	2	4	51.jpg	51.wav	Pop	1	4	1	1	1	0	0	17	17
361	51.jpg	51.wav	Pop	1	4	38.jpg	38.wav	Jazz	2	5	1	-1	0	0	0	5	17
356	48.jpg	48.wav	Rock	3	5	38.jpg	38.wav	Jazz	2	5	1	1	1	0	1	18	17
359	27.jpg	27.wav	Pop	1	5	12.jpg	12.wav	Pop	2	5	1	-1	0	1	0	7	17
353	50.jpg	50.wav	Rock	5	5	47.jpg	47.wav	Pop	3	5	2	2	1	0	1	22	17
354	20.jpg	20.wav	Regae	3	4	11.jpg	11.wav	Pop	2	5	1	1	1	1	1	20	17
355	47.jpg	47.wav	Pop	3	5	5.jpg	5.wav	Pop	2	5	1	1	1	1	0	19	17
358	46.jpg	46.wav	Rock	4	5	36.jpg	36.wav	Pop	5	5	1	-1	0	1	1	8	17
365	52.jpg	52.wav	Old_rock	3	4	44.jpg	44.wav	70_rock	2	5	1	1	1	0	0	17	18
362	52.jpg	52.wav	Old_rock	3	4	11.jpg	11.wav	Pop	2	5	1	1	1	1	1	20	18
366	46.jpg	46.wav	Rock	4	5	23.jpg	23.wav	Pop	5	5	1	-1	0	1	1	8	18
368	53.jpg	53.wav	Soul	4	5	41.jpg	41.wav	Pop	5	5	1	-1	0	0	1	6	18
364	14.jpg	14.wav	Jazz	4	5	30.jpg	30.wav	Cl_ce	3	4	1	1	1	0	1	18	18
367	13.jpg	13.wav	Rock	2	4	1.jpg	1.wav	Pop	3	4	1	-1	0	1	0	7	18
369	9.jpg	9.wav	Rock	2	5	47.jpg	47.wav	Pop	3	5	1	-1	0	0	0	5	18
363	23.jpg	23.wav	Pop	5	5	14.jpg	14.wav	Jazz	4	5	1	1	1	1	0	19	18
373	19.jpg	19.wav	Rock	3	5	11.jpg	11.wav	Pop	2	5	1	1	1	0	0	17	19
372	45.jpg	45.wav	Pop	4	5	47.jpg	47.wav	Pop	3	5	1	1	1	0	1	18	19
375	49.jpg	49.wav	Pop	2	5	30.jpg	30.wav	Cl_ce	3	4	1	-1	0	1	0	7	19
374	44.jpg	44.wav	70_rock	2	5	48.jpg	48.wav	Rock	3	5	1	-1	0	1	1	8	19
370	48.jpg	48.wav	Rock	3	5	11.jpg	11.wav	Pop	2	5	1	1	1	1	1	20	19
376	5.jpg	5.wav	Pop	2	5	30.jpg	30.wav	Cl_ce	3	4	1	-1	0	0	1	6	19
371	19.jpg	19.wav	Rock	3	5	49.jpg	49.wav	Pop	2	5	1	1	1	1	0	19	19
377	13.jpg	13.wav	Rock	2	4	30.jpg	30.wav	Cl_ce	3	4	1	-1	0	0	0	5	19
381	52.jpg	52.wav	Old_rock	3	4	5.jpg	5.wav	Pop	2	5	1	1	1	0	0	17	20
379	30.jpg	30.wav	Cl_ce	3	4	16.jpg	16.wav	Pop	2	5	1	1	1	1	0	19	20
380	48.jpg	48.wav	Rock	3	5	16.jpg	16.wav	Pop	2	5	1	1	1	0	1	18	20
378	24.jpg	24.wav	Jazz	5	4	14.jpg	14.wav	Jazz	4	5	1	1	1	1	1	20	20
383	30.jpg	30.wav	Cl_ce	3	4	12.jpg	12.wav	Pop	2	5	1	1	1	1	0	19	21
384	45.jpg	45.wav	Pop	4	5	20.jpg	20.wav	Regae	3	4	1	1	1	0	1	18	21
382	20.jpg	20.wav	Regae	3	4	13.jpg	13.wav	Rock	2	4	1	1	1	1	1	20	21
385	53.jpg	53.wav	Soul	4	5	31.jpg	31.wav	Folk	3	5	1	1	1	0	0	17	21
387	31.jpg	31.wav	Folk	3	5	9.jpg	9.wav	Rock	2	5	1	1	1	1	0	19	22
386	19.jpg	19.wav	Rock	3	5	9.jpg	9.wav	Rock	2	5	1	1	1	1	1	20	22
388	32.jpg	32.wav	Pop	5	5	45.jpg	45.wav	Pop	4	5	1	1	1	0	0	17	22
