a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	p_condition_id	q_block_no
142	32.jpg	32.wav	Pop	5	5	54.jpg	54.wav	Rap	5	4	0	0	0	1	0	3	6
143	19.jpg	19.wav	Rock	3	5	47.jpg	47.wav	Pop	3	5	0	0	0	0	1	2	6
131	41.jpg	41.wav	Pop	5	5	50.jpg	50.wav	Rock	5	5	0	0	1	0	1	14	6
128	48.jpg	48.wav	Rock	3	5	49.jpg	49.wav	Pop	2	5	1	1	1	0	0	17	6
129	1.jpg	1.wav	Pop	3	4	30.jpg	30.wav	Cl_ce	3	4	0	0	1	1	1	16	6
125	8.jpg	8.wav	Pop	5	5	46.jpg	46.wav	Rock	4	5	1	1	1	1	1	20	6
138	45.jpg	45.wav	Pop	4	5	8.jpg	8.wav	Pop	5	5	1	-1	0	1	0	7	6
141	36.jpg	36.wav	Pop	5	5	23.jpg	23.wav	Pop	5	5	0	0	0	1	1	4	6
123	31.jpg	31.wav	Folk	3	5	51.jpg	51.wav	Pop	1	4	2	2	1	0	1	22	6
136	11.jpg	11.wav	Pop	2	5	45.jpg	45.wav	Pop	4	5	2	-2	0	0	0	9	6
155	9.jpg	9.wav	Rock	2	5	16.jpg	16.wav	Pop	2	5	0	0	1	0	1	14	7
147	54.jpg	54.wav	Rap	5	4	48.jpg	48.wav	Rock	3	5	2	2	1	0	1	22	7
149	53.jpg	53.wav	Soul	4	5	30.jpg	30.wav	Cl_ce	3	4	1	1	1	1	1	20	7
152	20.jpg	20.wav	Regae	3	4	12.jpg	12.wav	Pop	2	5	1	1	1	0	0	17	7
166	8.jpg	8.wav	Pop	5	5	23.jpg	23.wav	Pop	5	5	0	0	0	1	0	3	7
145	36.jpg	36.wav	Pop	5	5	30.jpg	30.wav	Cl_ce	3	4	2	2	1	1	1	24	7
151	31.jpg	31.wav	Folk	3	5	44.jpg	44.wav	70_rock	2	5	1	1	1	0	1	18	7
154	38.jpg	38.wav	Jazz	2	5	9.jpg	9.wav	Rock	2	5	0	0	1	1	0	15	7
161	53.jpg	53.wav	Soul	4	5	23.jpg	23.wav	Pop	5	5	1	-1	0	1	1	8	7
148	24.jpg	24.wav	Jazz	5	4	47.jpg	47.wav	Pop	3	5	2	2	1	0	0	21	7
164	51.jpg	51.wav	Pop	1	4	11.jpg	11.wav	Pop	2	5	1	-1	0	0	0	5	7
157	27.jpg	27.wav	Pop	1	5	1.jpg	1.wav	Pop	3	4	2	-2	0	1	1	12	7
159	52.jpg	52.wav	Old_rock	3	4	23.jpg	23.wav	Pop	5	5	2	-2	0	0	1	10	7
158	52.jpg	52.wav	Old_rock	3	4	41.jpg	41.wav	Pop	5	5	2	-2	0	1	0	11	7
