a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	b_metrical	c_location	t_before_onset	resp	result	rt
311	1.jpg	1.wav	Pop	3	4	9.jpg	9.wav	Rock	2	5	1	1	1	0	1	NaN	NaN	NaN		NaN	NaN
312	16.jpg	16.wav	Pop	2	5	51.jpg	51.wav	Pop	1	4	1	1	1	0	0	NaN	NaN	NaN		NaN	NaN
313	54.jpg	54.wav	Rap	5	4	41.jpg	41.wav	Pop	5	5	0	0	1	1	1	NaN	NaN	NaN		NaN	NaN
314	50.jpg	50.wav	Rock	5	5	24.jpg	24.wav	Jazz	5	4	0	0	1	1	0	NaN	NaN	NaN		NaN	NaN
315	5.jpg	5.wav	Pop	2	5	13.jpg	13.wav	Rock	2	4	0	0	1	0	1	NaN	NaN	NaN		NaN	NaN
316	20.jpg	20.wav	Regae	3	4	30.jpg	30.wav	Cl_ce	3	4	0	0	1	0	0	NaN	NaN	NaN		NaN	NaN
317	16.jpg	16.wav	Pop	2	5	14.jpg	14.wav	Jazz	4	5	2	-2	0	1	1	NaN	NaN	NaN		NaN	NaN
318	11.jpg	11.wav	Pop	2	5	46.jpg	46.wav	Rock	4	5	2	-2	0	1	0	NaN	NaN	NaN		NaN	NaN
319	19.jpg	19.wav	Rock	3	5	50.jpg	50.wav	Rock	5	5	2	-2	0	0	1	NaN	NaN	NaN		NaN	NaN
320	1.jpg	1.wav	Pop	3	4	24.jpg	24.wav	Jazz	5	4	2	-2	0	0	0	NaN	NaN	NaN		NaN	NaN
321	52.jpg	52.wav	Old_rock	3	4	46.jpg	46.wav	Rock	4	5	1	-1	0	1	1	NaN	NaN	NaN		NaN	NaN
322	38.jpg	38.wav	Jazz	2	5	47.jpg	47.wav	Pop	3	5	1	-1	0	1	0	NaN	NaN	NaN		NaN	NaN
323	51.jpg	51.wav	Pop	1	4	49.jpg	49.wav	Pop	2	5	1	-1	0	0	1	NaN	NaN	NaN		NaN	NaN
324	27.jpg	27.wav	Pop	1	5	44.jpg	44.wav	70_rock	2	5	1	-1	0	0	0	NaN	NaN	NaN		NaN	NaN
325	45.jpg	45.wav	Pop	4	5	16.jpg	16.wav	Pop	2	5	2	2	1	1	1	NaN	NaN	NaN		NaN	NaN
326	8.jpg	8.wav	Pop	5	5	1.jpg	1.wav	Pop	3	4	2	2	1	1	0	NaN	NaN	NaN		NaN	NaN
327	23.jpg	23.wav	Pop	5	5	30.jpg	30.wav	Cl_ce	3	4	2	2	1	0	1	NaN	NaN	NaN		NaN	NaN
328	45.jpg	45.wav	Pop	4	5	12.jpg	12.wav	Pop	2	5	2	2	1	0	0	NaN	NaN	NaN		NaN	NaN
